iter	Passed	Remaining
0	1	1333
1	2	1220
2	3	1170
3	4	1144
4	5	1127
5	6	1106
6	7	1096
7	8	1087
8	9	1081
9	10	1072
10	11	1075
11	13	1083
12	14	1085
13	15	1085
14	16	1086
15	17	1082
16	18	1077
17	19	1071
18	20	1069
19	21	1065
20	22	1062
21	23	1058
22	24	1053
23	25	1051
24	26	1048
25	28	1055
26	29	1055
27	30	1053
28	31	1051
29	32	1047
30	33	1045
31	34	1043
32	35	1042
33	36	1040
34	37	1038
35	38	1034
36	39	1032
37	40	1030
38	41	1028
39	43	1048
40	44	1050
41	46	1050
42	47	1048
43	48	1045
44	49	1042
45	50	1040
46	51	1038
47	52	1037
48	53	1034
49	54	1032
50	55	1030
51	56	1027
52	57	1024
53	60	1059
54	62	1077
55	63	1074
56	64	1073
57	65	1069
58	66	1066
59	67	1064
60	68	1061
61	70	1059
62	71	1057
63	72	1055
64	73	1052
65	74	1050
66	75	1056
67	77	1057
68	78	1055
69	79	1052
70	80	1050
71	81	1047
72	82	1044
73	83	1042
74	84	1039
75	85	1037
76	86	1034
77	87	1031
78	88	1029
79	89	1027
80	90	1025
81	91	1025
82	92	1024
83	93	1021
84	94	1019
85	95	1016
86	96	1013
87	97	1010
88	98	1008
89	99	1006
90	100	1004
91	101	1001
92	102	999
93	103	996
94	104	996
95	105	994
96	106	993
97	107	992
98	108	990
99	109	988
100	110	985
101	111	983
102	112	980
103	113	978
104	114	977
105	115	975
106	116	973
107	117	971
108	118	969
109	119	967
110	120	965
111	121	963
112	122	963
113	123	962
114	124	960
115	125	959
116	126	957
117	127	955
118	128	953
119	129	951
120	130	949
121	131	947
122	132	945
123	133	943
124	134	943
125	135	941
126	136	939
127	137	937
128	138	936
129	139	936
130	141	935
131	142	934
132	142	932
133	144	930
134	144	929
135	145	927
136	146	925
137	147	924
138	148	922
139	150	921
140	151	919
141	151	918
142	152	916
143	153	915
144	155	914
145	156	913
146	157	912
147	158	910
148	159	908
149	160	907
150	161	905
151	162	904
152	163	902
153	164	901
154	165	900
155	166	898
156	167	897
157	168	895
158	169	894
159	170	894
160	171	893
161	172	892
162	173	890
163	174	889
164	175	888
165	176	886
166	177	885
167	178	883
168	179	882
169	180	883
170	182	882
171	183	880
172	183	879
173	184	878
174	186	877
175	187	876
176	188	875
177	189	874
178	190	872
179	191	871
180	192	870
181	193	868
182	194	868
183	195	866
184	196	865
185	197	864
186	198	862
187	199	861
188	200	859
189	201	858
190	202	857
191	203	856
192	204	855
193	205	854
194	206	852
195	207	852
196	208	850
197	209	850
198	210	849
199	212	848
200	213	846
201	214	845
202	215	844
203	216	843
204	217	841
205	218	841
206	219	840
207	220	839
208	221	838
209	222	837
210	223	835
211	224	835
212	225	833
213	226	832
214	227	831
215	228	829
216	229	828
217	230	826
218	231	825
219	232	823
220	233	823
221	234	821
222	235	820
223	236	819
224	237	818
225	238	817
226	239	816
227	240	815
228	241	813
229	242	812
230	243	811
231	244	810
232	245	808
233	246	807
234	247	806
235	248	804
236	249	803
237	250	802
238	251	801
239	252	799
240	253	798
241	254	797
242	255	796
243	256	794
244	257	793
245	258	792
246	259	791
247	260	789
248	261	788
249	262	787
250	263	786
251	264	784
252	265	783
253	266	782
254	267	781
255	268	780
256	269	779
257	270	778
258	271	776
259	272	775
260	273	774
261	274	772
262	275	771
263	276	770
264	277	768
265	278	767
266	279	766
267	280	765
268	281	764
269	282	763
270	283	762
271	284	761
272	285	760
273	286	759
274	287	758
275	288	757
276	289	756
277	290	754
278	291	754
279	292	752
280	293	751
281	294	750
282	295	749
283	297	749
284	298	748
285	299	747
286	300	747
287	301	746
288	302	745
289	303	744
290	305	743
291	306	742
292	307	740
293	308	740
294	309	738
295	310	737
296	311	736
297	312	736
298	314	737
299	315	736
300	316	735
301	317	734
302	319	733
303	320	733
304	321	732
305	322	731
306	323	730
307	324	729
308	325	728
309	327	727
310	328	727
311	330	728
312	331	728
313	332	727
314	333	726
315	335	725
316	336	724
317	337	724
318	338	722
319	339	722
320	340	721
321	342	720
322	343	720
323	345	720
324	346	719
325	347	718
326	348	717
327	349	716
328	351	716
329	352	715
330	353	714
331	354	713
332	355	712
333	356	711
334	358	710
335	360	711
336	361	711
337	362	710
338	363	709
339	365	708
340	366	707
341	367	706
